Element,Z,row,nsvalence,npvalence,ndvalence,nfvalence
H,1,1,1,0,0,0
He,2,1,2,0,0,0
Li,3,2,1,0,0,0
Be,4,2,2,0,0,0
B,5,2,2,1,0,0
C,6,2,2,2,0,0
N,7,2,2,3,0,0
O,8,2,2,4,0,0
F,9,2,2,5,0,0
Ne,10,2,2,6,0,0
Na,11,3,1,0,0,0
Mg,12,3,2,0,0,0
Al,13,3,2,1,0,0
Si,14,3,2,2,0,0
P,15,3,2,3,0,0
S,16,3,2,4,0,0
Cl,17,3,2,5,0,0
Ar,18,3,2,6,0,0
K,19,4,1,0,0,0
Ca,20,4,2,0,0,0
Sc,21,4,2,0,1,0
Ti,22,4,2,0,2,0
V,23,4,2,0,3,0
Cr,24,4,1,0,5,0
Mn,25,4,2,0,5,0
Fe,26,4,2,0,6,0
Co,27,4,2,0,7,0
Ni,28,4,2,0,8,0
Cu,29,4,1,0,10,0
Zn,30,4,2,0,10,0
Ga,31,4,2,1,10,0
Ge,32,4,2,2,10,0
As,33,4,2,3,10,0
Se,34,4,2,4,10,0
Br,35,4,2,5,10,0
Kr,36,4,2,6,10,0
Rb,37,5,1,0,0,0
Sr,38,5,2,0,0,0
Y,39,5,2,0,1,0
Zr,40,5,2,0,2,0
Nb,41,5,1,0,4,0
Mo,42,5,1,0,5,0
Tc,43,5,2,0,5,0
Ru,44,5,1,0,7,0
Rh,45,5,1,0,8,0
Pd,46,5,0,0,10,0
Ag,47,5,1,0,10,0
Cd,48,5,2,0,10,0
In,49,5,2,1,10,0
Sn,50,5,2,2,10,0
Sb,51,5,2,3,10,0
Te,52,5,2,4,10,0
I,53,5,2,5,10,0
Xe,54,5,2,6,10,0
Cs,55,6,1,0,0,0
Ba,56,6,2,0,0,0
La,57,6,2,0,1,0
Ce,58,6,2,0,1,1
Pr,59,6,2,0,0,3
Nd,60,6,2,0,0,4
Pm,61,6,2,0,0,5
Sm,62,6,2,0,0,6
Eu,63,6,2,0,0,7
Gd,64,6,2,0,1,7
Tb,65,6,2,0,0,9
Dy,66,6,2,0,0,10
Ho,67,6,2,0,0,11
Er,68,6,2,0,0,12
Tm,69,6,2,0,0,13
Yb,70,6,2,0,0,14
Lu,71,6,2,0,1,14
Hf,72,6,2,0,2,14
Ta,73,6,2,0,3,14
W,74,6,2,0,4,14
Re,75,6,2,0,5,14
Os,76,6,2,0,6,14
Ir,77,6,2,0,7,14
Pt,78,6,1,0,9,14
Au,79,6,1,0,10,14
Hg,80,6,2,0,10,14
Tl,81,6,2,1,10,14
Pb,82,6,2,2,10,14
Bi,83,6,2,3,10,14
Po,84,6,2,4,10,14
At,85,6,2,5,10,14
Rn,86,6,2,6,10,14
Fr,87,7,1,0,0,0
Ra,88,7,2,0,0,0
Ac,89,7,2,0,1,0
Th,90,7,2,0,2,0
Pa,91,7,2,0,1,2
U,92,7,2,0,1,3
Np,93,7,2,0,1,4
Pu,94,7,2,0,0,6
Am,95,7,2,0,0,7
Cm,96,7,2,0,1,7
Bk,97,7,2,0,0,9
Cf,98,7,2,0,0,10
Es,99,7,2,0,0,11
Fm,100,7,2,0,0,12
Md,101,7,2,0,0,13
No,102,7,2,0,0,14
Lr,103,7,2,1,0,14
